ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power
1042,Калужская 2,bishop,1422947035226,2G,EDGE,1,250,1,770,563,-1,-67
,ServiceLog,User1,1422947035612,2G,EDGE,1,250,1,770,563,-1,-67
,ServiceLog,User1,1422947036668,2G,EDGE,1,250,1,770,563,-1,-69
,ServiceLog,User1,1422947037702,2G,EDGE,1,250,1,770,563,-1,-69
,ServiceLog,User1,1422947038740,2G,EDGE,1,250,1,770,563,-1,-73
,ServiceLog,User1,1422947039782,2G,EDGE,1,250,1,770,563,-1,-73
,ServiceLog,User1,1422947040798,2G,EDGE,1,250,1,770,563,-1,-73
,ServiceLog,User1,1422947041931,2G,EDGE,1,250,1,770,563,-1,-75
,ServiceLog,User1,1422947042943,2G,EDGE,1,250,1,770,563,-1,-75
,ServiceLog,User1,1422947043955,2G,EDGE,1,250,1,770,563,-1,-75
,ServiceLog,User1,1422947044968,2G,EDGE,1,250,1,770,563,-1,-75
,ServiceLog,User1,1422947045999,2G,EDGE,1,250,1,770,563,-1,-75
,ServiceLog,User1,1422947047033,2G,EDGE,1,250,1,770,563,-1,-75
,ServiceLog,User1,1422947048059,2G,EDGE,1,250,1,770,563,-1,-73
,ServiceLog,User1,1422947049078,2G,EDGE,1,250,1,770,563,-1,-73
,ServiceLog,User1,1422947050128,2G,EDGE,1,250,1,770,563,-1,-73
,ServiceLog,User1,1422947051159,2G,EDGE,1,250,1,770,563,-1,-73
,ServiceLog,User1,1422947052184,2G,EDGE,1,250,1,770,563,-1,-71
1043,Калужская 3,bishop,1422947052207,2G,EDGE,1,250,1,770,563,-1,-71
